Date,FRRPtransect,Site,Zone,SampleNum,Species,Diam_cm,Height_cm,Perc_Old_Mort,Perc_rec_mort,N_Tissue_isolates,Disease,Bleach,Status,Attached,Frag,tod,dead,InTransect
23-Oct-17,Y,LK_Buoy10,Offshore,1,Oann,100,55,85,0,10,Healthy,Normal,All,Dislodged,Y,12,0,Y
23-Oct-17,Y,LK_Buoy10,Offshore,2,Oann,25,12,80,0,1,Healthy,Normal,All,Dislodged,Y,12,0,Y
23-Oct-17,Y,LK_Buoy10,Offshore,3,Oann,33,25,70,0,1,Healthy,Normal,All,Dislodged,Y,6,1,Y
23-Oct-17,Y,LK_Buoy10,Offshore,4,Mcav,32,20,30,0,1,Healthy,Normal,Broken,Attached,N,12,0,Y
23-Oct-17,Y,LK_Buoy10,Offshore,5,Oann/Ofav,42,19,80,0,1,Healthy,Normal,All,Dislodged,Y,12,0,Y
23-Oct-17,Y,LK_Buoy10,Offshore,6,Oann,22,17,75,0,1,Healthy,Normal,All,Dislodged,Y,12,0,Y
23-Oct-17,Y,LK_Buoy10,Offshore,7,Oann,18,7,85,0,1,Healthy,Normal,Broken,Attached,Y,6,1,Y
23-Oct-17,Y,LK_Buoy10,Offshore,8,Oann,17,9,90,0,1,Healthy,Normal,All,Dislodged,Y,6,1,Y
23-Oct-17,Y,LK_Buoy10,Offshore,9,Oann,32,20,50,0,1,Healthy,Normal,All,Dislodged,Y,12,0,Y
23-Oct-17,Y,LK_Buoy10,Offshore,10,Srad/Ssid,8,3,0,0,1,Healthy,Normal,None,Attached,N,12,0,Y
23-Oct-17,Y,LK_Buoy10,Offshore,11,Ppor,5,3,0,0,1,Healthy,Normal,None,Attached,N,12,0,Y
23-Oct-17,Y,LK_Buoy10,Offshore,12,Ssid,10,4,0,0,1,Healthy,Normal,None,Attached,N,12,0,Y
23-Oct-17,Y,LK_Buoy10,Offshore,13,Dlab,55,22,30,0,1,Healthy,Normal,All,Dislodged,N,12,0,Y
23-Oct-17,Y,LK_Buoy10,Offshore,14,Oann,41,23,80,0,4,Healthy,Normal,All,Dislodged,Y,12,0,Y
23-Oct-17,Y,LK_Buoy10,Offshore,15,Ssid,3,2,0,0,1,Healthy,Normal,None,Attached,N,12,0,Y
23-Oct-17,Y,LK_Buoy10,Offshore,16,Ssid,3,2,0,0,1,Healthy,Normal,None,Attached,N,12,0,Y
23-Oct-17,Y,LK_Buoy10,Offshore,17,Ssid,16,7,0,0,1,Healthy,Normal,None,Attached,N,12,0,Y
23-Oct-17,Y,LK_Buoy10,Offshore,18,Uaga,28,5,10,0,1,Healthy,Normal,None,Attached,N,12,0,Y
23-Oct-17,Y,LK_Buoy10,Offshore,19,Oann,23,16,10,0,1,Healthy,Normal,All,Dislodged,Y,12,0,Y
23-Oct-17,Y,LK_Buoy10,Offshore,20,Mcav,20,10,70,0,2,Healthy,Normal,None,Attached,N,12,0,Y
23-Oct-17,Y,LK_Buoy10,Offshore,21,Mcav,55,45,10,0,1,Healthy,Normal,None,Attached,N,12,0,Y
23-Oct-17,Y,LK_Buoy10,Offshore,22,Past,21,13,10,0,1,Healthy,Normal,None,Attached,N,12,0,Y
23-Oct-17,Y,LK_Buoy10,Offshore,23,Mcav,25,16,5,0,1,Healthy,Pale,None,Attached,N,12,0,Y
23-Oct-17,Y,LK_Buoy10,Offshore,24,Sint,11,3,10,0,1,Healthy,Normal,None,Attached,N,12,0,Y
23-Oct-17,Y,LK_Buoy10,Offshore,25,Ssid,8,4,0,0,1,Healthy,Normal,None,Attached,N,12,0,Y
23-Oct-17,Y,LK_Buoy10,Offshore,26,Ssid,25,5,50,0,1,Healthy,Normal,None,Attached,N,12,0,Y
23-Oct-17,Y,LK_Buoy10,Offshore,27,Past,12,7,0,0,1,Healthy,Normal,None,Attached,N,NA,NA,Y
23-Oct-17,Y,LK_Buoy10,Offshore,28,Past,6,3,0,0,1,Healthy,Normal,None,Attached,N,NA,NA,Y
23-Oct-17,Y,LK_Buoy10,Offshore,29,Past,4,2,0,0,1,Healthy,Normal,None,Attached,N,NA,NA,Y
23-Oct-17,Y,LK_Buoy10,Offshore,30,Mcav,3,3,0,0,1,Healthy,Normal,None,Attached,N,NA,NA,Y
23-Oct-17,Y,LK_Buoy10,Offshore,31,Sint,7,3,0,0,1,Healthy,Normal,Dislodged,Dislodged,N,NA,NA,Y
23-Oct-17,Y,LK_Buoy10,Offshore,32,Ssid,7,3,10,0,1,Healthy,Normal,None,Attached,N,NA,NA,Y
23-Oct-17,Y,LK_Buoy10,Offshore,33,Ssid,3,2,0,0,1,Healthy,Normal,None,Attached,N,NA,NA,Y
23-Oct-17,Y,LK_Buoy10,Offshore,34,Ssid,6,2,0,0,1,Healthy,Normal,None,Attached,N,NA,NA,Y
23-Oct-17,Y,LK_Buoy10,Offshore,35,Ssid,3,2,0,0,1,Healthy,Normal,None,Attached,N,NA,NA,Y
23-Oct-17,Y,LK_Buoy10,Offshore,36,Ppor,5,3,0,0,1,Healthy,Normal,None,Attached,N,NA,NA,Y
23-Oct-17,Y,LK_Buoy10,Offshore,37,Uaga,3,1,0,0,1,Healthy,Normal,Broken,Attached,Y,6,1,Y
23-Oct-17,Y,LK_Buoy10,Offshore,38,Ssid,4,1,0,0,1,Healthy,Normal,None,Attached,N,NA,NA,Y
23-Oct-17,Y,LK_Buoy10,Offshore,39,Ssid,3,1,0,0,1,Healthy,Normal,None,Attached,N,NA,NA,Y
23-Oct-17,Y,LK_Buoy10,Offshore,40,Mcav,2,1,0,0,1,Healthy,Normal,None,Attached,N,NA,NA,Y
23-Oct-17,Y,LK_Buoy10,Offshore,41,Ssid,3,1,0,0,1,Healthy,Normal,None,Attached,N,NA,NA,Y
23-Oct-17,Y,LK_Buoy10,Offshore,42,Ssid,3,1,0,0,1,Healthy,Normal,None,Attached,N,NA,NA,Y
23-Oct-17,Y,LK_Buoy10,Offshore,43,Ssid,3,1,0,0,1,Healthy,Normal,None,Attached,N,NA,NA,Y
23-Oct-17,Y,LK_Buoy10,Offshore,45,Ssid,5,1,0,0,1,Healthy,Normal,None,Attached,N,NA,NA,Y
23-Oct-17,Y,LK_Buoy10,Offshore,46,Ssid,9,3,50,0,3,Healthy,Normal,None,Attached,N,NA,NA,Y
23-Oct-17,Y,LK_Buoy10,Offshore,47,Ssid,7,2,0,0,1,Healthy,Normal,None,Attached,N,NA,NA,Y
23-Oct-17,Y,LK_Buoy10,Offshore,48,Ofav,120,155,30,0,1,Healthy,Normal,None,Attached,N,NA,NA,Y
23-Oct-17,Y,LK_Buoy10,Offshore,49,Oann,100,75,75,0,15,Healthy,Normal,None,Attached,N,NA,NA,Y
23-Oct-17,Y,LK_Buoy10,Offshore,50,Oann,30,17,90,0,1,Healthy,Normal,DB,Dislodged,Y,12,0,Y
23-Oct-17,Y,LK_Buoy10,Offshore,51,Oann,35,10,95,0,1,Healthy,Normal,DB,Dislodged,Y,12,0,Y
23-Oct-17,Y,LK_Buoy10,Offshore,52,Oann,35,20,50,0,1,Healthy,Normal,DB,Dislodged,Y,12,0,Y
23-Oct-17,Y,LK_Buoy10,Offshore,53,Oann,9,4,20,0,1,Healthy,Normal,DB,Dislodged,Y,12,0,Y
23-Oct-17,Y,LK_Buoy10,Offshore,54,Oann,28,17,50,0,1,Healthy,Normal,DB,Dislodged,Y,12,0,Y
23-Oct-17,Y,LK_Buoy10,Offshore,55,Oann,38,17,80,0,1,Healthy,Normal,DB,Dislodged,Y,12,0,Y
23-Oct-17,Y,LK_Buoy10,Offshore,56,Past,7,3,0,0,1,Healthy,Normal,None,Attached,N,NA,NA,Y
23-Oct-17,Y,LK_Buoy10,Offshore,57,Cnat,55,30,0,0,1,Healthy,Normal,None,Attached,N,12,0,Y
23-Oct-17,Y,LK_Buoy10,Offshore,58,Past,11,3,10,0,1,Healthy,Normal,None,Attached,N,NA,NA,Y
23-Oct-17,Y,LK_Buoy10,Offshore,59,Myce,12,5,60,0,1,Healthy,Normal,None,Attached,N,6,1,Y
23-Oct-17,Y,LK_Buoy10,Offshore,60,Oann,65,40,80,0,3,Healthy,Normal,DB,Dislodged,Y,12,0,Y
23-Oct-17,Y,LK_Buoy10,Offshore,61,Oann,12,10,10,0,1,Healthy,Normal,DB,Dislodged,Y,12,0,Y
23-Oct-17,Y,LK_Buoy10,Offshore,62,Oann,10,8,20,0,1,Healthy,Normal,DB,Dislodged,Y,12,0,Y
23-Oct-17,Y,LK_Buoy10,Offshore,63,Ofav,250,175,25,0,4,Healthy,Normal,B,Attached,N,12,0,Y
23-Oct-17,Y,LK_Buoy10,Offshore,64,Past,12,8,5,0,1,Healthy,Normal,None,Attached,N,NA,NA,Y
23-Oct-17,Y,LK_Buoy10,Offshore,65,Oann,20,15,20,0,1,Healthy,Normal,DB,Dislodged,Y,12,0,Y
23-Oct-17,Y,LK_Buoy10,Offshore,66,Oann,15,15,10,0,1,Healthy,Normal,DB,Dislodged,Y,12,0,Y
23-Oct-17,Y,LK_Buoy10,Offshore,67,Ofav,25,10,0,0,1,Healthy,Normal,DB,Dislodged,Y,12,0,Y
23-Oct-17,Y,LK_Buoy10,Offshore,68,Oann,31,25,50,0,1,Healthy,Normal,None,Attached,N,12,0,Y
23-Oct-17,Y,LK_Buoy10,Offshore,69,Oann,55,40,65,0,1,Healthy,Normal,DB,Dislodged,Y,12,0,Y
23-Oct-17,Y,LK_Buoy10,Offshore,70,Past,11,4,0,0,1,Healthy,Normal,None,Attached,N,12,0,Y
23-Oct-17,Y,LK_Buoy10,Offshore,71,Oann,33,45,80,0,1,Healthy,Normal,None,Attached,N,6,1,Y
23-Oct-17,Y,LK_Buoy10,Offshore,72,Ofav,120,100,20,0,1,Healthy,Normal,None,Attached,N,12,0,Y
23-Oct-17,Y,LK_Buoy10,Offshore,NA,Ssid,3,1,0,0,1,Healthy,Normal,None,Attached,N,NA,NA,Y
23-Oct-17,Y,LK_Buoy10,Offshore,NA,Ssid,3,1,0,0,1,Healthy,Normal,None,Attached,N,NA,NA,Y
23-Oct-17,Y,LK_Buoy10,Offshore,NA,Ssid,3,1,0,0,1,Healthy,Normal,None,Attached,N,NA,NA,Y
23-Oct-17,Y,LK_Buoy10,Offshore,73,Past,17,9,10,0,1,Healthy,Normal,None,Attached,N,NA,NA,Y
23-Oct-17,Y,LK_Buoy10,Offshore,74,Oann,31,28,80,0,1,Healthy,Normal,DB,Dislodged,Y,12,0,Y
23-Oct-17,Y,LK_Buoy10,Offshore,75,Mcav,12,5,0,0,1,Healthy,Normal,None,Attached,N,12,0,Y
23-Oct-17,Y,LK_Buoy10,Offshore,76,Ssid,13,6,0,0,1,Healthy,Normal,None,Attached,N,12,0,Y
23-Oct-17,Y,LK_Buoy10,Offshore,77,Ssid,5,3,0,0,1,Healthy,Normal,None,Attached,N,12,0,Y
23-Oct-17,Y,LK_Buoy10,Offshore,78,Ssid,11,2,0,0,1,Healthy,Normal,None,Attached,N,12,0,Y
23-Oct-17,Y,LK_Buoy10,Offshore,79,Mcav,33,30,10,0,1,Healthy,Pale,None,Attached,N,12,0,Y
23-Oct-17,Y,LK_Buoy10,Offshore,80,Ofav,80,80,70,0,10,Healthy,Normal,None,Attached,N,12,0,Y
23-Oct-17,Y,LK_Buoy10,Offshore,81,Oann,100,45,70,0,10,Healthy,Normal,None,Attached,N,12,0,Y
23-Oct-17,Y,LK_Buoy10,Offshore,82,Oann,25,10,20,0,1,Healthy,Normal,DB,Dislodged,Y,12,0,Y
23-Oct-17,Y,LK_Buoy10,Offshore,83,Past,12,5,0,0,1,Healthy,Pale,None,Attached,N,12,0,Y
23-Oct-17,Y,LK_Buoy10,Offshore,84,Ssid,12,5,5,0,1,Healthy,Normal,Abrasion,Attached,N,12,0,Y
23-Oct-17,Y,LK_Buoy10,Offshore,85,Ofav,200,110,20,0,5,Healthy,Normal,Abrasion,Attached,N,12,0,Y
23-Oct-17,Y,LK_Buoy10,Offshore,86,Pstr,42,30,10,0,1,Healthy,Normal,Abrasion,Attached,N,12,0,Y
23-Oct-17,Y,LK_Buoy10,Offshore,87,Ssid,6,1,0,0,1,Healthy,Pale,None,Attached,N,12,0,Y
23-Oct-17,Y,LK_Buoy10,Offshore,88,Ssid,12,1,0,0,1,Healthy,Normal,None,Attached,N,12,0,Y
23-Oct-17,Y,LK_Buoy10,Offshore,89,Ssid,9,3,0,0,1,Healthy,Pale,None,Attached,N,12,0,Y
23-Oct-17,Y,LK_Buoy10,Offshore,90,Past,12,7,10,0,1,Healthy,Normal,None,Attached,N,12,0,Y
23-Oct-17,Y,LK_Buoy10,Offshore,91,Pstr,23,2,10,0,1,Healthy,Normal,Broken,Attached,Y,12,0,Y
23-Oct-17,Y,LK_Buoy10,Offshore,92,Uaga,12,7,10,0,2,Healthy,Normal,None,Attached,N,12,0,Y
23-Oct-17,Y,LK_Buoy10,Offshore,93,Past,15,10,30,0,2,Healthy,Normal,None,Attached,N,12,0,Y
23-Oct-17,Y,LK_Buoy10,Offshore,94,Past,33,30,40,0,4,Healthy,Normal,None,Attached,N,12,0,Y
23-Oct-17,Y,LK_Buoy10,Offshore,95,Ssid,8,1,0,0,1,Healthy,Normal,None,Attached,N,12,0,Y
23-Oct-17,Y,LK_Buoy10,Offshore,96,Ssid,5,1,0,0,1,Healthy,Normal,None,Attached,N,12,0,Y
23-Oct-17,Y,LK_Buoy10,Offshore,97,Ssid,5,1,0,0,1,Healthy,Normal,None,Attached,N,12,0,Y
23-Oct-17,Y,LK_Buoy10,Offshore,98,Dlab,19,9,0,0,1,Healthy,Normal,None,Attached,N,12,0,Y
23-Oct-17,Y,LK_Buoy10,Offshore,99,Ssid,11,2,0,0,1,Healthy,Pale,None,Attached,N,12,0,Y
23-Oct-17,Y,LK_Buoy10,Offshore,100,Past,3,2,0,0,1,Healthy,Normal,None,Attached,N,12,0,Y
23-Oct-17,Y,LK_Buoy10,Offshore,101,Uaga,3,2,0,0,1,Healthy,Normal,None,Attached,N,12,0,Y
23-Oct-17,Y,LK_Buoy10,Offshore,102,Uaga,12,5,0,0,1,Healthy,Pale,None,Attached,N,12,0,Y
23-Oct-17,Y,LK_Buoy10,Offshore,103,Ofav,45,30,50,0,5,Healthy,Normal,Abrasion,Attached,N,12,0,Y
23-Oct-17,Y,LK_Buoy10,Offshore,104,Ofav,200,130,20,0,3,Healthy,Normal,Abrasion,Attached,N,12,0,Y
23-Oct-17,Y,LK_Buoy10,Offshore,105,Past,20,17,50,0,1,Healthy,Normal,None,Attached,N,12,0,Y
23-Oct-17,Y,LK_Buoy10,Offshore,106,Mcav,24,20,10,0,1,Healthy,Normal,None,Attached,N,12,0,Y
23-Oct-17,Y,LK_Buoy10,Offshore,107,Ssid,11,3,10,0,1,Healthy,Normal,None,Attached,N,12,0,Y
23-Oct-17,Y,LK_Buoy10,Offshore,108,Oann,200,100,75,0,10,Healthy,Normal,None,Attached,N,12,0,Y
